Sr_no,Name
1,Length
2,UPPER
3,LOWER
4,INITCAP()
5,SUBSTR()
6,CONCAT()
7,MOD()
8,INSTR() *
9,REPLACE()
10,ROUND()
11,TRUNC()
12,"MONTHS_BETWEEN( DATE1, DATE2)"
13,TO_CHAR() *
14,NVL()
15,LAST_DAY()
16,REVERSE()
