Name,Sr_no
Length,1
UPPER,2
LOWER,3
INITCAP(),4
SUBSTR(),5
CONCAT(),6
MOD(),7
INSTR() *,8
REPLACE(),9
ROUND(),10
TRUNC(),11
"MONTHS_BETWEEN( DATE1, DATE2)",12
TO_CHAR() *,13
NVL(),14
LAST_DAY(),15
REVERSE(),16
